Time ,Device ,Event Type ,Elapse Time ,Errors,Comment
31/03/2011 03:23:39,Enc#3 010 ,Time Out Error 
31/03/2011 03:23:29,Enc#3 014 ,Time Out Error 
31/03/2011 03:23:18,Enc#3 011 ,Time Out Error 
31/03/2011 03:23:08,Enc#3 011 ,Time Out Error 
31/03/2011 03:22:58,Enc#3 022 ,Time Out Error 
31/03/2011 03:22:47,Enc#3 022 ,Time Out Error 
31/03/2011 03:22:37,Enc#3 002 ,Time Out Error 
31/03/2011 03:22:26,Enc#3 017 ,Time Out Error 
31/03/2011 03:22:16,Enc#3 023 ,Time Out Error 
31/03/2011 03:22:06,Enc#3 023 ,Time Out Error 
31/03/2011 03:21:55,Enc#4 009 ,Time Out Error 
31/03/2011 03:21:45,Enc#3 014 ,Time Out Error 
31/03/2011 03:21:34,Enc#3 014 ,Time Out Error 
31/03/2011 03:21:24,Enc#3 002 ,Time Out Error 
31/03/2011 03:21:14,Enc#3 010 ,Time Out Error 
31/03/2011 03:21:03,Enc#3 008 ,Time Out Error 
31/03/2011 03:20:53,Enc#3 008 ,Time Out Error 
31/03/2011 03:20:42,Enc#3 005 ,Time Out Error 
31/03/2011 03:20:32,Enc#3 011 ,Time Out Error 
31/03/2011 03:20:22,Enc#3 011 ,Time Out Error 
31/03/2011 03:20:11,Enc#4 020 ,Time Out Error 
31/03/2011 03:20:01,Enc#4 014 ,Time Out Error 
31/03/2011 03:19:50,Enc#3 010 ,Time Out Error 
31/03/2011 03:19:40,Enc#3 010 ,Time Out Error 
31/03/2011 03:19:30,Enc#3 022 ,Time Out Error 
31/03/2011 03:19:19,Enc#3 022 ,Time Out Error 
31/03/2011 03:19:09,Enc#4 004 ,Time Out Error 
31/03/2011 03:18:58,Enc#3 015 ,Time Out Error 
31/03/2011 03:18:48,Enc#3 014 ,Time Out Error 
31/03/2011 03:18:38,Enc#3 002 ,Time Out Error 
31/03/2011 03:18:30,Enc#3 001 ,Device Failed 
31/03/2011 03:18:27,Enc#3 006 ,Time Out Error 
31/03/2011 03:18:17,Enc#3 006 ,Time Out Error 
31/03/2011 03:18:10,Raid Set OS ,RaidSet Degraded 
31/03/2011 03:18:09,Enc#3 000 ,Device Failed 
31/03/2011 03:18:08,RAID1 ,Volume Failed 
31/03/2011 03:18:05,Enc#3 001 ,Time Out Error 
31/03/2011 03:17:54,Enc#3 001 ,Time Out Error 
31/03/2011 03:17:44,Enc#3 001 ,Time Out Error 
31/03/2011 03:17:34,Enc#3 001 ,Time Out Error 
31/03/2011 03:17:23,Enc#3 001 ,Time Out Error 
31/03/2011 03:17:13,Enc#3 001 ,Time Out Error 
